Date,Region,Product,Units_Sold,Revenue,Cost,Customer_Rating,Profit
2025-10,West,Laptop,348,31853.34,5611.61,3.9,26241.73
2025-01,East,Monitor,145,12387.21,27271.83,3.0,-14884.62
2025-02,West,Tablet,374,4255.23,17585.08,3.8,-13329.85
2025-06,North,Keyboard,330,6879.55,12145.37,2.7,-5265.82
2025-09,West,Tablet,351,6838.27,13967.77,2.0,-7129.5
2025-08,East,Monitor,154,8019.18,28429.04,4.3,-20409.86
2025-05,East,Monitor,336,7371.95,4769.87,4.2,2602.08
2025-01,South,Tablet,226,32223.3,17669.65,3.8,14553.65
2025-07,North,Monitor,310,9503.06,15275.48,2.1,-5772.42
2025-05,West,Tablet,141,17610.53,18421.34,3.4,-810.81
2025-06,South,Phone,301,44891.03,739.68,2.4,44151.35
2025-07,West,Tablet,79,23961.1,26189.29,1.4,-2228.19
2025-03,West,Tablet,261,33544.11,27977.12,4.7,5566.99
2025-12,South,Monitor,424,9029.83,17040.97,1.5,-8011.14
2025-10,South,Monitor,284,10018.31,20960.19,4.8,-10941.88
2025-03,South,Laptop,454,2523.0,27690.48,2.8,-25167.48
2025-05,South,Laptop,373,8862.29,21275.71,1.7,-12413.42
2025-06,South,Phone,191,14290.22,4745.66,3.2,9544.56
2025-09,West,Laptop,176,9262.02,17373.39,4.5,-8111.37
2025-12,South,Tablet,100,4890.78,18280.11,3.9,-13389.33
2025-05,North,Monitor,211,6471.48,12839.09,4.2,-6367.61
2025-01,East,Laptop,355,23308.55,22146.04,3.6,1162.51
2025-04,South,Laptop,28,10713.52,28044.14,3.8,-17330.62
2025-05,South,Phone,48,18531.36,27781.94,4.4,-9250.58
2025-12,West,Phone,135,25419.15,13635.01,2.0,11784.14
2025-10,South,Tablet,460,34674.54,3574.49,3.0,31100.05
2025-10,South,Monitor,182,2445.95,29548.27,1.9,-27102.32
2025-05,South,Phone,150,40070.81,25199.16,5.0,14871.65
2025-07,West,Laptop,251,31581.07,3914.95,4.8,27666.12
2025-04,South,Monitor,229,4547.07,27641.09,1.2,-23094.02
2025-01,East,Monitor,135,43742.14,26122.91,3.8,17619.23
2025-05,West,Laptop,67,46083.18,15661.37,4.7,30421.81
2025-07,East,Phone,157,3523.36,17820.01,1.7,-14296.65
2025-10,West,Laptop,485,14205.44,12090.28,3.3,2115.16
2025-10,South,Monitor,465,40406.96,1831.9,4.7,38575.06
2025-06,East,Keyboard,326,37538.85,10188.88,1.1,27349.97
2025-05,West,Keyboard,392,9633.79,24125.03,3.8,-14491.24
2025-04,North,Tablet,370,10862.79,338.03,2.2,10524.76
2025-02,South,Laptop,432,18838.37,10138.28,4.7,8700.09
2025-04,West,Laptop,10,24483.89,12065.43,4.9,12418.46
2025-10,North,Tablet,396,31103.61,16214.39,4.8,14889.22
2025-10,West,Tablet,470,18761.23,27611.7,2.9,-8850.47
2025-03,North,Tablet,357,23395.47,10521.11,4.4,12874.36
2025-10,South,Monitor,199,37499.81,10539.21,4.4,26960.6
2025-01,East,Laptop,200,2315.82,22177.54,2.3,-19861.72
2025-08,North,Monitor,378,12995.63,13676.09,4.3,-680.46
2025-05,West,Tablet,418,35810.8,6893.22,1.1,28917.58
2025-04,South,Laptop,321,44812.74,13682.7,3.4,31130.04
2025-08,North,Monitor,426,25828.03,4397.54,1.9,21430.49
2025-07,West,Monitor,431,26839.62,5456.33,1.5,21383.29
2025-02,West,Tablet,126,5805.01,15051.36,1.3,-9246.35
2025-01,West,Laptop,143,22646.91,12683.98,3.8,9962.93
2025-12,North,Tablet,67,26864.55,27462.41,2.4,-597.86
2025-11,North,Laptop,53,12502.29,10999.34,3.9,1502.95
2025-04,North,Keyboard,182,13827.54,17501.53,1.3,-3673.99
2025-08,East,Phone,169,19175.57,19041.48,2.3,134.09
2025-12,North,Phone,182,1493.52,590.21,3.2,903.31
2025-02,North,Phone,326,16442.92,19973.41,4.2,-3530.49
2025-03,North,Tablet,312,10966.68,5505.47,2.3,5461.21
2025-12,East,Keyboard,158,16711.12,28839.9,3.5,-12128.78
2025-01,North,Laptop,89,6428.23,4630.15,4.5,1798.08
2025-01,West,Monitor,383,44581.1,12555.8,3.5,32025.3
2025-03,North,Laptop,222,29882.83,2743.42,1.9,27139.41
2025-11,West,Monitor,212,34115.56,29906.85,1.1,4208.71
2025-05,West,Laptop,261,39563.98,15165.41,4.5,24398.57
2025-12,West,Keyboard,238,25172.89,17942.47,1.1,7230.42
2025-03,East,Monitor,173,4802.55,2198.88,4.5,2603.67
2025-01,East,Tablet,236,27086.77,22548.82,3.1,4537.95
2025-01,East,Laptop,156,29548.64,6455.19,4.8,23093.45
2025-08,North,Laptop,29,37399.25,26962.02,4.2,10437.23
2025-10,West,Monitor,450,21867.15,6313.16,5.0,15553.99
2025-11,East,Tablet,411,6815.22,5882.49,2.4,932.73
2025-12,East,Tablet,56,14546.91,1289.18,4.1,13257.73
2025-12,North,Keyboard,242,18472.57,14267.59,2.6,4204.98
2025-02,East,Tablet,314,32472.9,17032.27,2.9,15440.63
2025-03,North,Tablet,23,28753.53,2158.12,3.5,26595.41
2025-02,South,Tablet,152,18126.79,23310.72,4.5,-5183.93
2025-03,East,Phone,424,49332.5,13708.01,4.9,35624.49
2025-07,South,Keyboard,10,30485.85,15826.83,4.1,14659.02
2025-01,North,Laptop,382,12242.73,13334.73,2.7,-1092.0
2025-10,West,Monitor,63,5538.23,12142.74,2.7,-6604.51
2025-08,East,Laptop,383,8066.53,16877.28,4.0,-8810.75
2025-10,North,Keyboard,268,12674.91,4826.16,2.0,7848.75
2025-10,West,Monitor,153,8453.73,5621.46,1.4,2832.27
2025-10,West,Keyboard,480,9735.07,25881.21,2.4,-16146.14
2025-02,South,Tablet,450,14612.21,28394.24,2.1,-13782.03
2025-03,North,Monitor,468,9081.99,11324.62,2.2,-2242.63
2025-09,West,Tablet,21,44889.89,8268.19,1.9,36621.7
2025-07,East,Laptop,339,4471.57,19391.19,1.2,-14919.62
2025-04,East,Laptop,233,26463.31,12380.28,1.1,14083.03
2025-10,South,Monitor,281,20814.64,956.51,5.0,19858.13
2025-05,West,Monitor,465,49127.74,4853.35,2.7,44274.39
2025-02,North,Keyboard,367,6045.93,21535.97,2.5,-15490.04
2025-11,East,Keyboard,469,20193.85,19835.93,3.7,357.92
2025-08,West,Tablet,417,48488.79,1007.46,1.9,47481.33
2025-04,West,Monitor,165,43342.6,6814.77,4.8,36527.83
2025-09,South,Laptop,382,40945.07,7086.03,4.1,33859.04
2025-05,East,Keyboard,17,13266.19,20222.4,1.4,-6956.21
2025-09,East,Keyboard,131,8958.94,787.37,2.7,8171.57
2025-04,North,Laptop,357,33597.84,3302.44,4.5,30295.4
2025-10,East,Keyboard,173,46504.11,24037.5,4.8,22466.61
2025-05,North,Tablet,99,28059.76,5520.63,2.9,22539.13
2025-09,East,Monitor,145,28794.83,19651.83,3.5,9143.0
2025-08,South,Laptop,195,14358.97,7297.85,1.7,7061.12
2025-03,East,Monitor,325,38589.9,3163.35,5.0,35426.55
2025-01,North,Keyboard,187,9758.67,7446.53,1.9,2312.14
2025-03,North,Keyboard,37,16522.12,21723.55,4.8,-5201.43
2025-04,South,Laptop,229,21559.1,25699.75,3.6,-4140.65
2025-02,East,Tablet,366,25626.71,24940.55,3.4,686.16
2025-01,East,Phone,50,12499.28,12036.07,3.1,463.21
2025-07,South,Laptop,237,6184.42,20108.94,1.9,-13924.52
2025-08,East,Phone,201,30725.69,6308.53,1.7,24417.16
2025-07,East,Phone,420,14787.21,8935.8,1.9,5851.41
2025-05,North,Tablet,456,29271.29,26910.81,1.7,2360.48
2025-12,East,Phone,154,8140.95,587.46,4.1,7553.49
2025-01,East,Phone,210,24316.44,2748.15,2.4,21568.29
2025-07,South,Tablet,426,26863.18,6395.01,1.2,20468.17
2025-07,South,Phone,221,3065.27,990.66,4.9,2074.61
2025-09,West,Phone,470,17161.91,5606.78,4.5,11555.13
2025-03,North,Phone,229,7153.53,17574.64,4.7,-10421.11
2025-09,East,Laptop,249,3637.06,12758.45,5.0,-9121.39
